ejercicio_presupuestario,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_anual_vig_cierre,ejecucion_anual_de_cierre,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,observaciones,ultima_actualizacion_fecha
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Indicador,34,Cobertura de Instituciones Auditadas de la Administración Pública Nacional,1187,Porcentaje,Suma: el total es la suma de las cantidades,"29,70",,"31,88",-,-,-,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Indicador,35,Tasa de Capacitación de los Agentes de la Auditoría General de la Nación,1187,Porcentaje,Suma: el total es la suma de las cantidades,"51,18",,"68,12",-,-,-,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,24,Auditoria Externa,1172,Informe de Auditoría Aprobado,Suma: el total es la suma de las cantidades,224,224,174,Otras Causas,Otras Causas,Se sucedieron demoras de distinta duración en la entrega de documentación por parte de varios organismos auditados. Algunas de ellas requirieron la realización de mecanismos formales de reiteración. Esta situación  justifica el desvío negativo de esta meta.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,2563,"Formación del Personal Administrativo, Técnico y Profesional",1059,Curso Realizado,Suma: el total es la suma de las cantidades,24,24,20,Otras Causas,Otras Causas,"Dado el caudal de trabajo que tuvieron durante este ejercicio los funcionarios internos que ofician de docentes y desarrolladores de contenido, no se pudo finalizar la totalidad estimada de cursos en diseño, lo que  imposibilitó alcanzar esta meta.","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,2563,"Formación del Personal Administrativo, Técnico y Profesional",1173,Funcionario Capacitado,Suma: el total es la suma de las cantidades,900,900,1184,Otras Causas,Otras Causas,Finalización y dictado de nuevas actividades de capacitación que se encontraban en estado de diseño.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,3773,Publicación de Informes de Auditoría en Video vía Web,1478,Visita en Sitio Web,Suma: el total es la suma de las cantidades,40420,40420,75119,Otras Causas,Otras Causas,"Los informes en video publicados durante el año, abordan temáticas de actualidad e interés para la ciudadanía. Ello explica el  desvío positivo de esta meta.","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,3774,Planificación Participativa  y Gobierno Abierto,1846,Reunión Técnica Realizada,Suma: el total es la suma de las cantidades,24,24,43,Otras Causas,Otras Causas,"Debido a las medidas de seguridad sanitaria, se  trabajó  con  las Organizaciones de la Sociedad Civil  y las autoridades de Gobierno Abierto de manera online,  lo cual permitió realizar más reuniones de las  planificadas originariamente.","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,1,Auditoría General de la Nación,16,Control Externo del Sector Publico Nacional,0,Control Externo del Sector Publico Nacional,Meta,3775,Visitas Didácticas de Instituciones Educativas (Proyecto Aula),1438,Visita Didáctica Realizada,Suma: el total es la suma de las cantidades,1000,1000,1525,Otras Causas,Otras Causas,Se aceptaron todas visitas requeridas.  Ello explica el  desvío positivo de esta meta.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,359,Porcentaje de bancas ocupadas por mujeres en la Cámara de Senadores del Congreso Nacional (ODS 5.5.2 - PPG),1187,Porcentaje,Promedio: el total es la suma de las cantidades dividido el número de cantidades,,,42,-,-,-,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,375,Porcentaje de bancas ocupadas por mujeres en la Cámara de diputados del Congreso Nacional (ODS 5.5.1 -PPG),1187,Porcentaje,Promedio: el total es la suma de las cantidades dividido el número de cantidades,42,45,45,-,-,-,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,161,Servicio Bibliográfico,188,Consulta Bibliográfica,Suma: el total es la suma de las cantidades,700000,700000,691674,Atraso no corregible,Atraso no corregible,Las consultas bibliográficas aumentaron paulatinamente a lo largo del año.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,161,Servicio Bibliográfico,577,Usuario,Suma: el total es la suma de las cantidades,1200000,1200000,1160243,Atraso no corregible,Atraso no corregible,"La cantidad de usuarios aumento en el segundo semestre, por sobre lo programado.","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,165,Visitas Guiadas,45,Visitante,Suma: el total es la suma de las cantidades,2000,2000,3399,La Mejora es Temporal,La Mejora es Temporal,Mayor asistencia de vistantes.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,882,Estudios e Investigaciones,677,Documento Producido,Suma: el total es la suma de las cantidades,10000,10000,11620,La Mejora es Temporal,La Mejora es Temporal,Se realizaron mayor cantidad de publicaciones teniendo en cuenta los temas legislativos vinculados a temas de actualidad.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,884,Traducción de Textos,872,Palabra,Suma: el total es la suma de las cantidades,1100000,1100000,1512073,La Mejora es Temporal,La Mejora es Temporal,Aumento la demanda de traducciones a lo largo del año.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,1603,Servicio Edición e Impresión,148,Publicación,Suma: el total es la suma de las cantidades,90,90,103,La Mejora es Temporal,La Mejora es Temporal,Se realizaron mayor cantidad de publicaciones teniendo en cuenta los temas legislativos vinculados a temas de actualidad.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,1604,Servicio de Microfilmación,782,Fotograma,Suma: el total es la suma de las cantidades,400000,400000,567722,La Mejora es Temporal,La Mejora es Temporal,La mejora responde a la digitalización como metodo para la conservaci{on del material bibliografico y ala firma de convenios de cooperación.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,314,Biblioteca del Congreso de la Nación,18,Asistencia Bibliografica,0,Asistencia Bibliografica,Meta,1605,Taller de Extensión Cultural,583,Participante,Suma: el total es la suma de las cantidades,12300,12300,17751,La Mejora es Temporal,La Mejora es Temporal,Los talleres abiertos al publico recibieron una importante convocatoria.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,60000000,60000000,34230126,Otras causas,Otras causas,"Durante el ejercicio 2022 se ejcutaron  trabajos de Convenios con la ICN   del Ministerio del Interior ,  Indec , junto a los trabajos Parlamentarios y Comerciales.   Cabe aclarar  que algunas de las cantidad  de impresiones proyectadas en los convenios  fueron inferiores a lo programado causando asi  el desvio.-","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,316,Dirección de Ayuda Social para el Personal del Congreso de la Nación (DAS),20,Asistencia Social Integral al Personal del Congreso de la Nacion,0,Asistencia Social Integral al Personal del Congreso de la Nacion,Meta,59,Cobertura Social Integral al Personal del Congreso de la Nación,74,Consulta Médica,Suma: el total es la suma de las cantidades,235000,235000,243109,Otras Causas,Otras Causas,La variación se encuentra dentro del rango esperable y tiene su fundamento en una revision medica post pandemia COVID 19.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,316,Dirección de Ayuda Social para el Personal del Congreso de la Nación (DAS),20,Asistencia Social Integral al Personal del Congreso de la Nacion,0,Asistencia Social Integral al Personal del Congreso de la Nacion,Meta,59,Cobertura Social Integral al Personal del Congreso de la Nación,133,Afiliado,Promedio: el total es la suma de las cantidades dividido el número de cantidades,28500,28500,28154,Otras Causas,Otras Causas,El desvío se encuentra dentro de los parámetros esperados originándose en las bajas por fallecimiento y escases de nacimientos.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,316,Dirección de Ayuda Social para el Personal del Congreso de la Nación (DAS),20,Asistencia Social Integral al Personal del Congreso de la Nacion,0,Asistencia Social Integral al Personal del Congreso de la Nacion,Meta,59,Cobertura Social Integral al Personal del Congreso de la Nación,140,Paciente Internado,Suma: el total es la suma de las cantidades,2900,2900,3865,Otras Causas,Otras Causas,"la desviación, se debe a las múltiples complicaciones de enfermedades crónicas no tratadas durante los períodos de la pandemia COVID19.","Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,216,0,0,-,-,-,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,240000,240000,246271,Otras Causas,Otras Causas,Desvío positivo por el incremento de las solicitudes de pensiones para el  Personal Policial de Mendoza.,"Información definitiva que forma parte de la Cuenta de Inversión Anual que se presenta al Congreso Nacional",Última actualización del ejercicio 2022: 02 Julio 2023.
